Provinsi,Rumah,Industri,Bisnis,Sosial,Bangunan Pemerintah,Penerangan Jalan Umum,Total,(%),Tahun
UIW East Java,"16.004,06","17.166,79","5.932,68","1.716,78","475,59","590,40","41.886,30","14,52",2023
UID Central Java and Yogyakarta,"15.548,24","8.677,19","5.064,91","1.746,51","405,14","553,99","31.995,98","11,09",2023
Jawa Tengah,"13.620,27","8.408,15","4.170,67","1.418,82","324,66","489,18","28.431,75","9,86",2023
D.I. Yogyakarta,"1.927,97","269,05","894,24","327,69","80,48","64,81","3.564,23","1,24",2023
UIW West Java,"21.854,79","25.026,44","9.013,71","1.679,84","560,75","428,79","58.564,31","20,30",2023
UID Banten,"6.475,33","15.814,03","3.964,60","463,42","167,91","86,12","26.971,40","9,35",2023
UID Jakarta Raya,"15.644,75","3.997,21","14.001,63","1.658,84","1.482,22","207,71","36.992,35","12,83",2023
J a w a,"75.527,17","70.681,65","37.977,53","7.265,39","3.091,60","1.867,00","196.410,34","68,09",2023
I n d o n e s i a,"122.339,69","88.587,68","57.112,00","11.496,10","5.285,12","3.615,19","288.435,78","100,00",2023
(%),"42,41","30,71","19,80","3,99","1,83","1,25","100,00",,2023
